book_links,book_title,book_author,book_prices,book_img_urls
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d9%81%d9%84%d8%b3%d9%81%d8%a9-%d9%81%d9%89-%d8%a7%d9%84%d8%b4%d8%b1%d9%82/,الفلسفة في الشرق,بول ماسون- اورسيل,EGP150.00,https://diwanegypt.com/wp-content/uploads/2022/09/9789776751910-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%b9%d9%86-%d8%a7%d9%84%d9%84%d8%a7%d9%87%d9%88%d8%aa-%d9%88-%d8%a7%d9%84%d8%b3%d9%8a%d8%a7%d8%b3%d8%a9/,عن اللاهوت و السياسة,باروخ سبينوزا,EGP230.00,https://diwanegypt.com/wp-content/uploads/2023/01/9789778212471-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d8%a8%d9%86%d8%a7%d8%a1-%d8%b1%d9%81%d8%a7%d8%b9%d8%a9-%d8%a7%d9%84%d8%ab%d9%82%d8%a7%d9%81%d8%a9-%d9%88%d8%a7%d9%84%d8%ad%d8%b1%d9%8a%d8%a9/,ابناء رفاعة الثقافة والحرية,بهاء طاهر,EGP85.00,https://diwanegypt.com/wp-content/uploads/2023/01/9789770926548-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a7%d9%84%d8%a7%d8%b9%d9%85%d8%a7%d9%84-%d8%a7%d9%84%d9%82%d8%b5%d8%b5%d9%8a%d8%a9/,الاعمال القصصية,بهاء طاهر,EGP65.00,https://diwanegypt.com/wp-content/uploads/2023/01/9789770924099-450x600.jpg
,,,,
https://diwanegypt.com/product/%d9%84%d9%85-%d8%a7%d8%b9%d8%b1%d9%81-%d8%a7%d9%86-%d8%a7%d9%84%d8%b7%d9%88%d8%a7%d9%88%d9%8a%d8%b3-%d8%aa%d8%b7%d9%8a%d8%b1/,لم اعرف ان الطواويس تطير,بهاء طاهر,EGP50.00,https://diwanegypt.com/wp-content/uploads/2023/01/9789770926488-450x600.jpg
,,,,
https://diwanegypt.com/product/50%d8%b3%d9%86%d8%a9-%d9%81%d9%8a-%d8%ad%d8%b1%d8%a7%d9%83-%d8%a7%d9%84%d8%ab%d9%82%d8%a7%d9%81%d8%a9-%d8%a7%d9%84%d8%b3%d9%8a%d9%86%d9%85%d8%a7%d8%a6/,50سنة في حراك الثقافة السينمائية,مجموعة مؤلفين,EGP50.00,https://diwanegypt.com/wp-content/uploads/2023/01/9786010004736-450x600.jpg
,,,,
https://diwanegypt.com/product/%d8%a3%d9%83%d8%a7%d8%a8%d9%8a%d9%84%d9%84%d8%a7/,أكابيللا,مى التلمسانى,EGP110.00,https://diwanegypt.com/wp-content/uploads/2023/01/9789770938027-450x600.jpg
,,,,
